2014-05-17T17-19-31: LogOut_File: : logfile started
2014-05-17T17-19-31: Net Status: low-level initialize success.
2014-05-17T17-19-31: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-05-17T17-19-31: time = time of logging
2014-05-17T17-19-31: address = address of IP address
2014-05-17T17-19-31: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-05-17T17-19-31: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-05-17T17-19-31: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-05-17T17-19-31: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-05-17T17-19-31: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-05-17T17-19-31: sent = number of packets sent. Spikes can indicate lag.
2014-05-17T17-19-31: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-05-17T17-19-31: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-05-17T17-19-31: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-05-17T17-19-31: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-05-17T17-19-31: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-05-17T17-19-31: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-05-17T17-19-31: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
6627,X.X.X.X,238,214,0,0,0,12,158,138,0,0,0,0
21081,X.X.X.X,8613,1292,6548,382,0,49,45,8,0,0,1,0
31812,X.X.X.X,9707,1676,969,116,1,69,47,6,0,0,8,0
43284,X.X.X.X,10085,1965,0,29,1,90,43,5,0,0,8,0
53692,X.X.X.X,13515,2903,2320,556,1,109,43,4,0,0,8,0
64023,X.X.X.X,16973,3871,2320,580,2,129,44,5,0,0,8,0
74389,X.X.X.X,20534,4839,2407,580,2,148,46,4,0,0,8,0
84746,X.X.X.X,24592,5803,2784,580,2,166,45,3,0,0,8,0
95082,X.X.X.X,30049,6747,3857,580,5,186,142,68,0,0,8,0
105434,X.X.X.X,35768,7667,4089,580,5,201,163,92,0,0,8,0
115811,X.X.X.X,41465,8635,4031,580,5,220,55,21,0,0,8,0
126190,X.X.X.X,47869,9591,4582,580,5,238,47,3,0,0,8,0
136551,X.X.X.X,54354,10559,4611,580,6,258,47,5,0,0,8,0
146918,X.X.X.X,60848,11527,4640,580,6,277,45,4,0,0,9,0
157201,X.X.X.X,68065,12491,5191,580,6,295,46,3,0,0,9,0
167550,X.X.X.X,75302,13459,5191,580,6,314,46,4,0,0,9,0
177867,X.X.X.X,82441,14427,5133,580,7,334,49,9,0,0,9,0
188176,X.X.X.X,89730,15399,5249,580,7,352,47,4,0,0,9,0
198525,X.X.X.X,96970,16375,5162,580,8,372,50,10,0,0,9,0
208806,X.X.X.X,118503,17599,12566,586,9,392,55,18,0,0,18,0
221450,X.X.X.X,145220,18851,8653,628,10,416,50,7,0,0,20,0
231479,X.X.X.X,155120,20262,8917,290,10,440,47,4,0,0,20,0
241504,X.X.X.X,160828,22018,4360,760,11,464,60,21,0,0,21,0
251512,X.X.X.X,165409,23247,3505,411,11,482,49,6,0,0,21,0
261520,X.X.X.X,167986,24167,1741,316,11,502,45,5,0,0,21,0
271544,X.X.X.X,170532,24927,1760,204,11,522,44,4,0,0,21,0
281553,X.X.X.X,173796,25760,2427,233,12,543,45,3,0,0,21,0
291577,X.X.X.X,178312,26674,3582,266,13,563,44,4,0,0,21,0
301586,X.X.X.X,182111,28231,2764,825,13,590,44,4,0,0,21,0
311610,X.X.X.X,189427,29155,6302,258,13,608,45,5,0,0,21,0
321635,X.X.X.X,198411,31301,7276,1098,13,633,45,3,0,0,21,0
331642,X.X.X.X,204489,32973,4789,736,13,654,43,4,0,0,21,0
341651,X.X.X.X,237805,37006,29912,1533,14,678,45,8,0,0,21,0
351659,X.X.X.X,282452,43004,34054,2278,14,712,44,5,0,0,21,0
361684,X.X.X.X,322606,49309,35598,2553,14,738,42,3,0,0,21,0
371692,X.X.X.X,369489,56057,42272,2970,14,776,46,4,0,0,21,0
381700,X.X.X.X,422205,64217,45686,3646,17,825,86,28,0,0,21,0
391707,X.X.X.X,475663,72535,46985,3884,20,886,69,29,0,0,21,0
401732,X.X.X.X,525846,79744,44912,3185,21,924,57,18,0,0,21,0
411740,X.X.X.X,610024,88962,68810,4006,25,993,47,4,0,0,21,0
421748,X.X.X.X,673984,97805,58726,4209,25,1058,46,4,0,0,21,0
431757,X.X.X.X,747006,105588,59820,3255,29,1108,50,8,0,0,22,0
441764,X.X.X.X,793298,113121,41194,3331,31,1151,46,5,0,0,22,0
451789,X.X.X.X,845469,120729,46981,3272,32,1190,45,4,0,0,22,0
461797,X.X.X.X,899929,128462,49300,3537,32,1236,45,4,0,0,22,0
471822,X.X.X.X,962277,135616,44501,2741,35,1272,63,28,0,0,22,0
481830,X.X.X.X,1001784,142805,34421,3217,35,1309,46,4,0,0,22,0
491838,X.X.X.X,1065617,150659,52233,3430,42,1360,71,46,0,0,22,0
501846,X.X.X.X,1119117,158456,48123,3479,42,1409,47,3,0,0,22,0
511854,X.X.X.X,1163587,166452,39385,3770,42,1463,47,4,0,0,23,0
521863,X.X.X.X,1210625,174207,41931,3687,42,1519,46,4,0,0,23,0
